
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:21:16.167Z] GET /images/products/broccoli.png
[2026-03-29T18:24:17.683Z] GET /products.html
[2026-03-29T18:24:17.706Z] GET /css/style.css
[2026-03-29T18:24:17.707Z] GET /js/cart.js
[2026-03-29T18:24:17.708Z] GET /js/app.js
[2026-03-29T18:24:17.730Z] GET /api/products
[2026-03-29T18:24:17.739Z] GET /images/popular_banner_v2.png
[2026-03-29T18:24:17.789Z] GET /images/products/bell_pepper_yellow_real.png
[2026-03-29T18:24:17.790Z] GET /images/products/ragi_1773599981126.png
[2026-03-29T18:24:17.790Z] GET /images/products/maize_1773600203331.png
[2026-03-29T18:24:17.791Z] GET /images/products/basmati-rice.png
[2026-03-29T18:24:17.793Z] GET /images/products/moong-dal.png
[2026-03-29T18:24:17.794Z] GET /images/products/carrot_real.png
[2026-03-29T18:24:17.811Z] GET /images/products/cucumber.png
[2026-03-29T18:24:17.811Z] GET /images/products/bell_pepper_red_real.png
[2026-03-29T18:24:17.814Z] GET /images/products/cabbage_real.png
[2026-03-29T18:24:17.815Z] GET /images/products/broccoli_v2.png
[2026-03-29T18:24:17.823Z] GET /images/products/potatoes.png
[2026-03-29T18:24:17.827Z] GET /images/products/beetroot_real.png
[2026-03-29T18:24:17.829Z] GET /images/products/garlic.png
[2026-03-29T18:24:17.833Z] GET /images/products/ginger.png
[2026-03-29T18:24:17.834Z] GET /images/products/onions.png
[2026-03-29T18:24:17.840Z] GET /images/products/tomatoes.png
[2026-03-29T18:24:17.846Z] GET /images/products/spinach.png
[2026-03-29T18:24:17.846Z] GET /images/products/cauliflower.png
[2026-03-29T18:24:17.852Z] GET /images/products/green-peas.png
[2026-03-29T18:24:17.852Z] GET /images/products/french_beans_1773600471628.png
